"date","close","volume","open","high","low"

"2015/07/02","165.0900","2851396.0000","165.0500","165.3200","164.4200"
"2015/07/01","164.4900","3214437.0000","163.9700","165.6100","163.6000"
"2015/06/30","162.6600","3597257.0000","163.9900","164.0000","162.1200"
"2015/06/29","162.9700","3313914.0000","163.9200","165.3500","162.8900"
"2015/06/26","165.4600","8925498.0000","166.2300","166.8116","165.2300"
"2015/06/25","166.0800","2408705.0000","167.8000","168.1300","166.0800"
"2015/06/24","166.9700","3548079.0000","168.7100","168.8400","166.8301"
"2015/06/23","168.6200","3700989.0000","168.3800","169.9700","167.5730"
"2015/06/22","167.7300","2335796.0000","167.6500","168.3400","167.2000"
"2015/06/19","166.9900","7015534.0000","167.6200","168.4200","166.7700"
"2015/06/18","168.2500","3330764.0000","167.0500","168.7200","167.0500"
"2015/06/17","167.1700","2862993.0000","167.0000","167.8476","166.1000"
"2015/06/16","166.8400","3249752.0000","166.3300","167.4000","165.9100"
"2015/06/15","166.2600","4242795.0000","165.3300","166.4400","164.2500"
"2015/06/12","166.9900","3062125.0000","168.2300","168.3000","166.6900"
"2015/06/11","168.7800","3463893.0000","169.2600","170.4400","168.5400"
"2015/06/10","168.9200","4680002.0000","166.4900","169.3900","166.0600"
"2015/06/09","165.6800","3394390.0000","165.3400","166.0200","163.3700"
"2015/06/08","165.3400","3758676.0000","167.1700","167.2800","165.0200"
"2015/06/05","167.4000","3100401.0000","168.2500","168.9103","167.2000"
"2015/06/04","168.3800","3076991.0000","169.5300","170.6000","167.9300"
"2015/06/03","169.9200","2131031.0000","170.5000","171.5601","169.6300"
"2015/06/02","169.6500","2571662.0000","169.6600","170.4500","168.4300"
"2015/06/01","170.1800","2982367.0000","170.2100","171.0400","169.0300"
"2015/05/29","169.6500","4075576.0000","171.3500","171.3500","169.6500"
"2015/05/28","171.7100","1731347.0000","171.4500","171.8400","170.6600"
"2015/05/27","172.0000","2764328.0000","171.1600","172.4800","170.4900"
"2015/05/26","170.1300","3841937.0000","172.1100","172.1200","169.1300"
"2015/05/22","172.2200","2849142.0000","173.0400","173.3900","172.1900"
"2015/05/21","173.3400","2293645.0000","173.3200","174.1400","173.0350"
"2015/05/20","173.7600","2300693.0000","173.3300","174.4400","172.4600"
"2015/05/19","173.4800","2522984.0000","172.9700","173.7500","171.9300"
"2015/05/18","173.0600","1930206.0000","173.4400","173.4900","172.3000"
"2015/05/15","173.2600","2916087.0000","173.9100","174.4100","172.6000"
"2015/05/14","174.0500","2438669.0000","173.5000","174.4000","173.2200"
"2015/05/13","172.2800","2457170.0000","171.2400","172.7400","170.7500"
"2015/05/12","170.5500","2954387.0000","170.5500","171.4899","168.8400"
"2015/05/11","171.1200","2657123.0000","172.6500","172.9900","170.8600"
"2015/05/08","172.6800","3092479.0000","172.9400","173.3300","172.2400"
"2015/05/07","170.9900","2472627.0000","169.6300","171.9800","169.0400"
"2015/05/06","170.0500","3610295.0000","172.9000","174.0500","168.8600"
"2015/05/05","173.0800","3593415.0000","173.5100","174.2300","171.9600"
"2015/05/04","173.9700","4023794.0000","174.4700","176.3000","173.7000"
"2015/05/01","173.6700","3311743.0000","173.2000","174.0000","172.4200"
"2015/04/30","171.2900","5058348.0000","173.7700","174.2800","170.3000"
"2015/04/29","174.4000","4515143.0000","173.4000","175.1303","172.8000"
"2015/04/28","173.9200","5814978.0000","170.8300","174.6900","170.0200"
"2015/04/27","170.7300","3166588.0000","170.8900","171.4900","170.3000"
"2015/04/24","169.7800","3887859.0000","170.2300","170.8500","168.7400"
"2015/04/23","170.2400","8226707.0000","165.2300","171.9100","165.1400"
"2015/04/22","165.3600","4022236.0000","164.3900","166.0000","162.8900"
"2015/04/21","164.2600","9681557.0000","166.0700","167.3800","164.0500"
"2015/04/20","166.1600","9572126.0000","162.1000","166.6400","161.9000"
"2015/04/17","160.6700","4308880.0000","161.7500","161.8600","160.0300"
"2015/04/16","163.1300","3130813.0000","163.3100","163.9800","162.5400"
"2015/04/15","164.1300","3495848.0000","162.6300","164.9600","162.5000"
"2015/04/14","162.3000","2716418.0000","162.4200","162.7352","160.7900"
"2015/04/13","162.3800","3868071.0000","162.3700","164.0000","162.3600"
"2015/04/10","162.8600","2511035.0000","162.3400","163.3300","161.2500"
"2015/04/09","162.3400","2263480.0000","161.7000","162.4700","160.7200"
"2015/04/08","161.8500","2521583.0000","161.7200","163.5500","161.0100"
"2015/04/07","162.0700","3147566.0000","161.6700","163.8400","161.6200"
"2015/04/06","162.0400","3465581.0000","159.6900","162.8000","158.7020"
"2015/04/02","160.4500","4671478.0000","159.5200","162.5400","158.8900"
